"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"185338","occ","","","18186","Mustelidae","family","41086","Clarendonian","","13.6","10.3","3794"
"185354","occ","","","18187","Leptocyon","genus","41218","Barstovian","Early Clarendonian","15.97","10.3","3794"
"185355","occ","","","18187","Mustelidae","family","41086","Barstovian","Early Clarendonian","15.97","10.3","3794"
"185360","occ","","","18188","Aelurodon ferox","species","43762","Miocene","","23.03","5.333","3558"
"185362","occ","","","18190","Aelurodon taxoides","species","43778","Clarendonian","Hemphillian","13.6","4.9","3558"
"185368","occ","5714","","18192","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","6294"
"185369","occ","","","18192","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3510"
"185370","occ","5715","","18192","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","6294"
"185371","occ","","","18192","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","3510"
"185372","occ","5716","","18192","Pseudocyon","genus","41294","Barstovian","","15.97","13.6","1977"
"185373","occ","5717","","18192","Mustelidae","family","41086","Barstovian","","15.97","13.6","6294"
"185396","occ","","","18193","Borophagus pugnator","species","50648","Miocene","","23.03","5.333","3558"
"185402","occ","","","18196","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"185403","occ","5728","","18197","Epicyon","genus","41212","Clarendonian","","13.6","10.3","6294"
"185404","occ","5729","","18197","Mionictis pristinus","species","47807","Clarendonian","","13.6","10.3","6294"
"185407","occ","5732","","18198","Antrozous pallidus","species","52646","Hemphillian","","10.3","4.9","1296"
"185416","occ","","","18198","Nimravides thinobates","species","51147","Hemphillian","","10.3","4.9","6208"
"185417","occ","5735","","18198","Epicyon haydeni","species","44847","Hemphillian","","10.3","4.9","6294"
"185418","occ","5736","","18198","Borophagus secundus","species","44603","Hemphillian","","10.3","4.9","6294"
"185419","occ","","","18198","Indarctos","genus","41315","Hemphillian","","10.3","4.9","1325"
"185420","occ","","","18198","Leptarctus","genus","41119","Hemphillian","","10.3","4.9","1325"
"185421","occ","","","18198","Eomellivora","genus","41109","Hemphillian","","10.3","4.9","1325"
"185435","occ","","","18199","Aelurodon","genus","41190","Barstovian","","15.97","13.6","3510"
"185442","occ","","","18200","Cynarctus crucidens","species","45442","Clarendonian","","13.6","10.3","3558"
"185443","occ","","","18200","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"185444","occ","","","18200","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"185445","occ","","","18200","Carpocyon robustus","species","52388","Clarendonian","","13.6","10.3","3558"
"185446","occ","","","18200","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","6266"
"185447","occ","","","18200","Ischyrocyon","genus","41287","Clarendonian","","13.6","10.3","1977"
"185448","occ","","","18200","Arctonasua","genus","41251","Clarendonian","","13.6","10.3","1028"
"185469","occ","","","18201","Canis","genus","41198","Hemphillian","","10.3","4.9","3510"
"185470","occ","","","18201","Mephitini","tribe","90658","Hemphillian","","10.3","4.9","3510"
"185479","occ","","","18202","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"185490","occ","","","18203","Microtomarctus conferta","species","52175","Barstovian","","15.97","13.6","3558"
"185491","occ","","","18203","Tomarctus brevirostris","species","52374","Barstovian","","15.97","13.6","3558"
"185492","occ","","","18203","Aelurodon asthenostylus","species","43759","Barstovian","","15.97","13.6","3558"
"185493","occ","","","18203","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","3558"
"185494","occ","","","18203","Amphicyon ingens","species","43993","Barstovian","","15.97","13.6","1977"
"185497","occ","","","18204","Pseudocyon","genus","41294","Clarendonian","","13.6","10.3","1977"
"185503","occ","","","18205","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","3558"
"185514","occ","","","18206","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3510"
"185515","occ","","","18206","Carpocyon","genus","41199","Barstovian","","15.97","13.6","3510"
"185531","occ","","","18208","Plesiosorex donroosai","species","50468","Barstovian","","15.97","13.6","781"
"185535","occ","5766","","18208","Pseudotrimylus","genus","40484","Barstovian","","15.97","13.6","6294"
"185536","occ","","","18208","Soricidae","family","40443","Barstovian","","15.97","13.6","781"
"185540","occ","","","18208","Chiroptera","order","40622","Barstovian","","15.97","13.6","781"
"185560","occ","5773","","18208","Borophaginae","subfamily","83323","Barstovian","","15.97","13.6","6294"
"185561","occ","","","18208","Leptocyon","genus","41218","Barstovian","","15.97","13.6","781"
"185562","occ","","","18208","Amphicyonidae","family","41266","Barstovian","","15.97","13.6","781"
"185563","occ","","","18208","Pseudaelurus","genus","41072","Barstovian","","15.97","13.6","781"
"185583","occ","","","18209","Soricidae","family","40443","Barstovian","","15.97","13.6","3510"
"185594","occ","","","18209","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3510"
"185595","occ","5781","","18209","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","6294"
