Species	Status
Leptarctus_supremus	extinct
Leptarctus_webbi	extinct
Leptarctus_woodburnei	extinct
Leptarctus_wortmani	extinct
Leptocyon	extinct
Leptocyon_delicatus	extinct
Leptocyon_douglassi	extinct
Leptocyon_gregorii	extinct
Leptocyon_leidyi	extinct
Leptocyon_matthewi	extinct
Leptocyon_mollis	extinct
Leptocyon_tejonensis	extinct
Leptocyon_vafer	extinct
Leptocyon_vulpinus	extinct
Leptonychotes	extinct
Leptonychotes_weddelli	extant
Leptonycteris	extinct
Leptonycteris_nivalis	extinct
Leptophoca	extinct
Leptophoca_lenis	extinct
Leptophoca_proxima	extinct
Leptoplesictis_namibiensis	extinct
Leptoplesictis_senutae	extinct
Limaconyssus	extinct
Limaconyssus_habrus	extinct
Limnoecinae	extinct
Limnoecus	extinct
Limnoecus_compressus	extinct
Limnoecus_niobrarensis	extinct
Limnoecus_tricuspis	extinct
Limnonyx	extinct
Limnonyx_pontica	extinct
Lobodon_carcinophaga	extant
Lonchophylla	extinct
Lontra	extinct
Lontra_canadensis	extant
Lontra_longicaudis	extant
Lontra_longicaudis_annectens	extinct
Lontra_longicaudis_longicaudis	extinct
Lophostoma_silvicolum	extinct
Lunanosorex_lii	extinct
Lusorex_taishanensis	extinct
Lutra	extinct
Lutra_affinis	extinct
Lutra_bravardi	extinct
Lutra_bressana	extinct
Lutra_castiglionis	extinct
Lutra_fatimazohrae	extinct
Lutra_lutra	extant
Lutra_maculicollis	extant
Lutra_simplicidens	extinct
Lutra_trinacriae	extinct
Lutravus_halli	extinct
Lutrinae	extinct
Lutrini	extinct
Lutrogale	extinct
Lycaena	extinct
Lycaon	extinct
Lycaon_pictus	extant
Lycophocyon_hutchisoni	extinct
Lycyaena	extinct
Lycyaenops_silberbergi	extinct
Lyncodon	extinct
Lynx	extinct
Lynx_canadensis	extinct
Lynx_longignathus	extinct
Lynx_lynx	extant
Lynx_pardinus	extinct
Lynx_proterolyncis	extinct
Lynx_rufus	extant
Machaeroides_eothen	extinct
Machaeroides_simpsoni	extinct
Machairodontinae	extinct
Machairodus	extinct
Machairodus_catocopis	extinct
Machairodus_irtyschensis	extinct
Machairodus_ischimicus	extinct
Machairodus_kabir	extinct
Machairodus_kurteni	extinct
Machocyon_abbasi	extinct
Macroderma	extinct
Macroderma_koppa	extinct
Macrotus	extinct
Mafia	extinct
Magerictis_imperialensis	extinct
Malfelis_badwaterensis	extinct
Mammacyon	extinct
Mammacyon_ferocior	extinct
Mammacyon_obtusidens	extinct
Manidae	extinct
Manis	extinct
Manis_(Smutsia)_gigantea	extinct
Maofelis_cantonensis	extinct
Marcetia	extinct
Martes	extinct
Martes_campestris	extinct
Martes_foina	extinct
Martes_foxi	extinct
Martes_khelifensis	extinct
Martes_kinseyi	extinct
Martes_martes	extant
Martes_parviloba	extinct
Martes_stirtoni	extinct
Martes_(Tomictis)_gazini	extinct
Martes_zibellina	extant
Martinogale	extinct
Martinogale_alveodens	extinct
Martinogale_chisoensis	extinct
Martinogale_faulli	extinct
Matanomictis_maniyarensis	extinct
Matthesia	extinct
Megaderma	extinct
Megaderma_franconica	extinct
Megaderma_lugdunensis	extinct
Megadermatidae	extinct
Megaderma_vireti	extinct
Megagomphos_sinanoensis	extinct
Megalenhydris_barbaricina	extinct
Megalictis	extinct
Megalictis_ferox	extinct
Megalictis_frazieri	extinct
Megalictis_petersoni	extinct
Megantereon	extinct
Megantereon_cultridens	extinct
Megantereon_eurynodon	extinct
Megantereon_hesperus	extinct
Megantereon_megantereon	extinct
Megantereon_nihowanensis	extinct
Megantereon_whitei	extinct
Melaniella_timosa	extinct
Meles	extinct
Meles_iberica	extinct
Meles_meles	extant
Melidellavus	extinct
Melinae	extinct
