Species	Status
Melanitta_perspicillata	extinct
Meleagris	extinct
Meleagris_gallopavo	extant
Meleagris_richmondi	extinct
Meleagris_tridens	extinct
Melospiza	extinct
Melospiza_melodia	extant
Menura_tyawanoides	extinct
Mergini	extinct
Mergus	extinct
Mergus_australis	extinct
Mergus_merganser	extant
Mergus_serrator	extant
Mesembriornis_milneedwardsi	extinct
Mesetaornis	extinct
Mesetaornis_polaris	extinct
Messelastur_gratulator	extinct
Messelirrisor_grandis	extinct
Micrathene	extinct
Micropalama	extinct
Micropalama_chapmani	extinct
Microsula	extinct
Microsula_pygmaea	extinct
Milvago	extinct
Milvago_brodkorbi	extinct
Milvago_chimachima	extinct
Milvoides_kempi	extinct
Milvus	extinct
Miocepphus	extinct
Miocepphus_blowi	extinct
Miocepphus_bohaskai	extinct
Miocepphus_mcclungi	extinct
Miocepphus_mergulellus	extinct
Miocitta_galbreathi	extinct
Miohierax_stocki	extinct
Miomancalla_howardi	extinct
Miomancalla_wetmorei	extinct
Miophasianus	extinct
Miophasianus_medius	extinct
Miorallus	extinct
Miortyx_teres	extinct
Miosula	extinct
Miosula_media	extinct
Miotadorna_sanctibathansi	extinct
Mirafra	extinct
Miraquila_terrestris	extinct
Moho_braccatus	extant
Molothrus	extinct
Molothrus_ater	extinct
Mopsitta_tanta	extinct
Moris_reyana	extinct
Morus	extinct
Morus_atlanticus	extinct
Morus_avitus	extinct
Morus_humeralis	extinct
Morus_lompocanus	extinct
Morus_loxostylus	extinct
Morus_magnus	extinct
Morus_peninsularis	extinct
Morus_peruvianus	extinct
Morus_recentior	extinct
Morus_vagabundus	extinct
Motacillinae	extinct
Motmotidae	extinct
Mullerornis	extinct
Musophagidae	extinct
Mycteria	extinct
Mycteria_milleri	extinct
Mycteria_wetmorei	extinct
Mystiornis_cyrili	extinct
Namaortyx_sperrgebietensis	extinct
Namapsitta_praeruptorum	extinct
Nanantius	extinct
Nanantius_eos	extinct
Nannococcyx_psix	extant
Nannonetta_invisitata	extinct
Nanortyx_inexpectatus	extinct
Neanis_schucherti	extinct
Neilus_sansomae	extinct
Nelepsittacus_daphneleeae	extinct
Nelepsittacus_donmertoni	extinct
Nelepsittacus_minimus	extinct
Neocathartes_grallator	extinct
Neochen_barbadiana	extant
Neococcyx	extinct
Neogaeornis_wetzeli	extinct
Neognathae	extinct
Neophrontops	extinct
Neophrontops_americanus	extinct
Neophrontops_slaughteri	extinct
Neophrontops_vetustus	extinct
Neornithes	extinct
Nesillas	extinct
Nestor_meridionalis	extinct
Nestor_notabilis	extinct
Nettapus_eyrensis	extinct
